N,trial,t_sync,r_final,phase_variance
5,0,0.629,0.9278965667324275,0.07210343326757251
5,1,0.171,0.9732427261648886,0.026757273835111395
5,2,0.197,0.6747517676789263,0.3252482323210737
5,3,0.168,0.9658092400120853,0.034190759987914654
5,4,0.6940000000000001,0.9682915649296967,0.0317084350703033
5,5,0.41000000000000003,0.8083651764719438,0.19163482352805616
5,6,0.5690000000000001,0.9306272639138046,0.06937273608619543
5,7,1.129,0.5057012026770814,0.4942987973229186
5,8,0.708,0.9821724717721231,0.01782752822787692
5,9,1.805,0.5802230491490882,0.4197769508509118
10,0,1.077,0.9560973331190523,0.04390266688094768
10,1,,0.6186350508342296,0.38136494916577035
10,2,1.355,0.9467511656561689,0.0532488343438311
10,3,0.614,0.9239263805635226,0.07607361943647739
10,4,1.887,0.7983043168377365,0.2016956831622635
10,5,0.779,0.7893154288309785,0.2106845711690215
10,6,2.2880000000000003,0.7312449330546642,0.2687550669453358
10,7,0.18,0.9863234596049806,0.013676540395019421
10,8,0.138,0.9621082303332682,0.0378917696667318
10,9,1.803,0.5893885517414384,0.41061144825856155
20,0,2.344,0.8823857231708876,0.11761427682911241
20,1,,0.6846035549449143,0.3153964450550857
20,2,4.399,0.6360939991260947,0.36390600087390534
20,3,1.061,0.8552998708231122,0.1447001291768878
20,4,,0.7379602146375954,0.2620397853624046
20,5,1.862,0.8554558839191653,0.14454411608083473
20,6,,0.7578122275638208,0.24218777243617917
20,7,2.699,0.8413598719198159,0.15864012808018413
20,8,2.117,0.9404474186925219,0.05955258130747809
20,9,2.412,0.821269927539847,0.17873007246015304
30,0,8.744,0.7086120116907628,0.2913879883092372
30,1,1.955,0.8131820902462763,0.1868179097537237
30,2,1.591,0.7819475150209187,0.21805248497908125
30,3,,0.8265547532689124,0.17344524673108763
30,4,,0.8129130634715728,0.18708693652842723
30,5,1.704,0.8273067106425644,0.17269328935743555
30,6,4.779,0.895949480877049,0.10405051912295105
30,7,2.559,0.8116501186025131,0.18834988139748687
30,8,1.8800000000000001,0.8899811881617571,0.11001881183824291
30,9,5.57,0.8986459588748485,0.10135404112515145
50,0,,0.7650865011587011,0.23491349884129886
50,1,1.424,0.8283838000389615,0.1716161999610385
50,2,6.962,0.8521880588476669,0.1478119411523331
50,3,,0.7298968470121797,0.2701031529878203
50,4,,0.7273761333232815,0.27262386667671845
50,5,,0.7983995851238022,0.20160041487619784
50,6,,0.7115346953482367,0.28846530465176334
50,7,3.658,0.8281213627016397,0.17187863729836028
50,8,2.74,0.8486079698771606,0.15139203012283942
50,9,,0.7116293403190631,0.2883706596809369
